;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
801;1324;pg_801;Sehr viel Wissen über meine Interessenbereiche sammeln.;0.75;0.76;0.75;0.5;0.75;0.67;1;0.25;0;1;1;0.75;1;0.25;0;1;1;1;0.75;0;1;1;0.75;1;1;0;0.5;1;1;0.5;0.5;0
802;1324;pg_802;Viele verschiedene Personen und Ansichten kennenlernen.;0.25;0.24;1;1;1;0;1;1;0;0.75;1;1;1;1;0.25;0.75;0.75;0.75;0.25;0.75;0.75;1;0.75;1;1;0;1;0.75;0.75;0.75;1;0.5
803;1324;pg_803;Herausfinden in welche Richtung ich mich beruflich und privat nach dem Studium weiter entwickeln möchte.;0.24;0.76;1;1;1;0;1;1;0;0.75;1;0;0.75;1;1;0.75;0;0.5;0.5;1;0.5;0.75;1;1;1;0;1;1;1;1;1;0
813;1331;pg_813;Eine Strukturierte Arbeitsweise meinerseits (Ich ertappe mich regelmäßig selbst, dass ich zu chaotisch denke und arbeite);1;0.74;1;0.99;0.76;0.25;0.25;0.41;0;0.72;1;0.76;0.88;0.99;0.57;0.73;0.78;0.27;0.76;0;0;0.62;0.23;0.2;0.59;0;0;0.7;0.75;0.48;0;0
814;1331;pg_814;Ein umfangreiches Fachwissen, um damit Arbeiten zu können. Und um eine Grundlage zu haben, auf der ich aufbauen kann.;1;0.74;0.78;0.97;0.66;0.61;1;0.72;0.01;0.74;0.63;1;1;0;0.01;0.75;0.78;0.77;0.77;0;0.76;0.99;1;0.99;1;0;0.71;0.99;0.75;0.49;1;0
818;1331;pg_818;Die Qualifikation zu Veränderungen der Gesundheitsversorgung beitragen zu können.;1;0.75;0.77;0.98;0.65;0.26;1;0.99;0;0.25;0.68;1;1;0.01;0;0.75;0.76;0.76;0.76;0;0.79;0.99;0.79;1;1;0.01;1;1;0.75;1;1;0
826;1302;pg_826;Ich möchte gerne ein interessantes Masterarbeitsthema finden. ;0.54;0.25;0.87;0.65;0.83;0.91;1;0.25;0.38;0.99;0.45;0.71;0.74;0.3;0.74;0.75;0.98;0.98;1;0.12;0.76;0.89;0.55;0.5;1;0;0.98;0.5;0.91;0.38;0.62;0.09
827;1302;pg_827;Ich will die Masterarbeit gut abschließen. ;0.76;0.25;0.86;0.75;0.9;0.91;1;1;0.76;0.34;0.91;0.61;0.74;0.52;0.62;0.75;0.9;0.97;0.38;0.12;0.76;0.88;0.5;0.5;0.63;0;0.35;0.5;0.5;0.5;0.43;0.64
828;1302;pg_828;Ich möchte gerne mit einer Promotion an das Studium anknüpfen;0.76;0.26;0.92;0.92;0.9;0.91;1;0.99;0.38;0.5;0.9;0.44;0.74;0.74;0.61;0.74;0.89;0.97;0.49;0.12;0.76;0.88;0.6;0.75;0.75;0;0.96;0.85;0.5;0.66;0.95;0.73
823;1342;pg_823;Ich möchte sowhl Bachelor als auch Master mit einer Note besser als 2,0 abschließen;1;1;0;0.75;0.45;0.75;1;0.25;0.75;0.64;0.5;1;1;0;0.75;0.25;1;1;1;1;1;1;0;0.75;0.25;0.75;0.24;0.53;0.25;0;0.26;0
